Regulator	Target
contig_73997_1	contig_14560_1
contig_73997_1	contig_166775_1
contig_73997_1	contig_49477_1
contig_73997_1	contig_50929_3
contig_73997_1	contig_57417_1
Medtr7g098170	AC232874_1025
Medtr7g098170	AC235748_1029
Medtr7g098170	Medtr1g016740
Medtr7g098170	Medtr1g019770
Medtr7g098170	Medtr1g071040
Medtr7g098170	Medtr3g055590
Medtr7g098170	Medtr4g096700
Medtr7g098170	Medtr4g106540
Medtr7g098170	Medtr4g115340
Medtr7g098170	Medtr5g023660
Medtr7g098170	Medtr5g030360
Medtr7g098170	Medtr6g005220
Medtr7g098170	Medtr7g093210
Medtr7g098170	Medtr7g109470
Medtr7g098170	contig_167119_1
Medtr7g098170	contig_52437_1
Medtr7g098170	contig_56674_1
Medtr7g098170	contig_83991_1
Medtr5g006530	AC233655_49
Medtr5g006530	Medtr2g025180
Medtr5g006530	Medtr2g099780
Medtr5g006530	Medtr3g013540
